id,gold_relation,suggested_relation,head_type,head_text,tail_type,tail_text,source_url,sentence,marked_text,memo
51a0f6f2feaab01e,,NO_RELATION,Notice,가천대학교 국제교류처,Email,gstep.gu@gmail.com,https://oia.gachon.ac.kr/international/a/m/gStepApply.do,Youku,[E1] 가천대학교 국제교류처 [/E1] Youku [E2] gstep.gu@gmail.com [/E2],
f11001d890f5c0b9,,NO_RELATION,Notice,가천대학교 글로벌캠퍼스(성남) 국제교류처 한국어교육센터에서는 외국인에게 한국어를 교육할 유능하고 성실한 선생님을 모십니다,Document,지원서 및 추가서류,https://oia.gachon.ac.kr/international/a/m/krCenterRecruitment.do,가천대학교 글로벌캠퍼스(성남) 국제교류처 한국어교육센터에서는 외국인에게 한국어를 교육할 유능하고 성실한 선생님을 모십니다.,[E1] 가천대학교 글로벌캠퍼스(성남) 국제교류처 한국어교육센터에서는 외국인에게 한국어를 교육할 유능하고 성실한 선생님을 모십니다 [/E1]. [E2] 지원서 및 추가서류 [/E2],
0d39743cf0c1a027,,NO_RELATION,Page,외국인학생,ExamLevel,TOPIKⅡ,https://oia.gachon.ac.kr/clientMain/a/t/internationalMain.do,2026.05.30,[E1] 외국인학생 [/E1] 2026.05.30 [E2] TOPIKⅡ [/E2],
7331f506843c15ae,,NO_RELATION,Notice,한국어 교육센터 소개,ExamLevel,TOPIK 2급,https://oia.gachon.ac.kr/international/a/m/klecInfo.do,"한국어 교육센터 소개 가천대학교 국제교류처 한국어교육센터는 2004년 국제어학원 한국어과정으로 시작하여, 한국어 세계화의 전문적인 기관이라는 목표로 2012년 국제교류처 한국어교육센터로 확대 개편되었습니다. 한국어 정규과정은 국내 대학 진학을 목적으로 하는 외국인 유학생과 한국어를 배우고자 하는 외국인, 교포 자녀들을 위...","[E1] 한국어 교육센터 소개 [/E1] 가천대학교 국제교류처 한국어교육센터는 2004년 국제어학원 한국어과정으로 시작하여, 한국어 세계화의 전문적인 기관이라는 목표로 2012년 국제교류처 한국어교육센터로 확대 개편되었습니다. 한국어 정규과정은 국내 대학 진학을 목적으로 하는 외국인 유학생과 한국어를 배우고자 하는 외국인...",
961811175d770fc6,,NO_RELATION,Notice,통장 만들 때 필요한 서류,Department,OIS센터,https://oia.gachon.ac.kr/international/a/m/guideNewStudent.do,통장 만들 때 필요한 서류 <li>신분증 (여권 또는 외국인등록증)</li> <li>도장 또는 사인</li> <li>재학증명서</li>,[E1] 통장 만들 때 필요한 서류 [/E1] <li>신분증 (여권 또는 외국인등록증)</li> <li>도장 또는 사인</li> <li>재학증명서</li> [E2] OIS센터 [/E2],
d928a08d86ab134b,,NO_RELATION,Notice,가천대학교 국제교류처,Target_Audience,어학 자격 어학 자격 안내 어학 성적이 없는 학생 어학 성적이 없는 학생은 한국어교육센터에서 진행하는 한국어 수업과 1~2개의 한국어/한국문화와 관련된 정해진 가천대학교 정규 교양수업을 들어야 합니다.,https://oia.gachon.ac.kr/international/a/m/exchangeStudent.do,https://www.gachon.ac.kr,[E1] 가천대학교 국제교류처 [/E1] https://www.gachon.ac.kr [E2] 어학 자격 어학 자격 안내 어학 성적이 없는 학생 어학 성적이 없는 학생은 한국어교육센터에서 진행하는 한국어 수업과 1~2개의 한국어/한국문화와 관련된 정해진 가천대학교 정규 교양수업을 들어야 합니다. [/E2],
04743e536720dd90,,NO_RELATION,Event,2026학년도 1학기 한국어능력 졸업인증 대체시험,Document,여권 원본,https://oia.gachon.ac.kr/clientMain/a/t/internationalMain.do,공지사항 08 2026 . 05 2026학년도 1학기 한국어능력 졸업인증 대체시험 (외국인유학생대상) 2026학년도 1학기 한국어능력 졸업인증 대체시험(외국인유학생대상)국제교류처에서 2026년도 1학기 한국어능력 졸업인증 대체시험을 운영합니다.한국어능력 졸업인증을 하지 못한 외국인유학생은 아래사항을 확인하여 졸업에 차질이 없도록 대비 바랍니다.대체시험을...,공지사항 08 2026 . 05 [E1] 2026학년도 1학기 한국어능력 졸업인증 대체시험 [/E1] (외국인유학생대상) 2026학년도 1학기 한국어능력 졸업인증 대체시험(외국인유학생대상)국제교류처에서 2026년도 1학기 한국어능력 졸업인증 대체시험을 운영합니다.한국어능력 졸업인증을 하지 못한 외국인유학생은 아래사항을 확인하여 졸업에 차질이 없도록 대비...,
8d8ad776bf6ca06c,,NO_RELATION,Notice,가천대학교 국제교류처,Department,가천토픽센터,https://oia.gachon.ac.kr/international/a/m/klecInfo.do,Youtube,[E1] 가천대학교 국제교류처 [/E1] Youtube [E2] 가천토픽센터 [/E2],
3f4f7b9cf33251c9,,NO_RELATION,Notice,<p>가천대학교에 입학하게 되면 신입생의 학교 생활 적응을 위해 한국인 멘토가 1:1로 도와주게 됩니다.</p> <p>서로 소통하며 문화와 언어를 교환할 수 있습,Document,통장 만들 때 필요한 서류,https://oia.gachon.ac.kr/international/a/m/guideNewStudent.do,"<p>가천대학교에 입학하게 되면 신입생의 학교 생활 적응을 위해 한국인 멘토가 1:1로 도와주게 됩니다.</p> <p>서로 소통하며 문화와 언어를 교환할 수 있습니다.</p> <p>한국인 멘토는 멘토링 프로그램을 통해 전공, 학년 등을 고려하여 일괄 배정됩니다.</p>","[E1] <p>가천대학교에 입학하게 되면 신입생의 학교 생활 적응을 위해 한국인 멘토가 1:1로 도와주게 됩니다.</p> <p>서로 소통하며 문화와 언어를 교환할 수 있습 [/E1]니다.</p> <p>한국인 멘토는 멘토링 프로그램을 통해 전공, 학년 등을 고려하여 일괄 배정됩니다.</p> [E2] 통장 만들 때 필요한 서...",
f0c9d1179e49d1e5,,NO_RELATION,Page,처음 왔을 때,Visa,통장 개설 절차,https://oia.gachon.ac.kr/international/a/m/guideNewStudent.do,031-750-5692,[E1] 처음 왔을 때 [/E1] 031-750-5692 [E2] 통장 개설 절차 [/E2],
